HYDROGEN,"Hidrogênio"
HELIUM,"Hélio"
LITHIUM,"Lítio"
BERYLLIUM,"Berílio"
BORON,"Boro"
CARBON,"Carbono"
NITROGEN,"Nitrogênio"
OXYGEN,"Oxigênio"
FLUORINE,"Flúor"
NEON,"Neônio"
SODIUM,"Sódio"
MAGNESIUM,"Magnésio"
ALUMINIUM,"Alumínio"
SILICON,"Silício"
PHOSPHORUS,"Fósforo"
SULFUR,"Enxofre"
CHLORINE,"Cloro"
ARGON,"Argônio"
POTASSIUM,"Potássio"
CALCIUM,"Cálcio"
SCANDIUM,"Escândio"
TITANIUM,"Titânio"
VANADIUM,"Vanádio"
CHROMIUM,"Crômio"
MANGANESE,"Manganês"
IRON,"Ferro"
COBALT,"Cobalto"
NICKEL,"Níquel"
COPPER,"Cobre"
ZINC,"Zinco"
GALLIUM,"Gálio"
GERMANIUM,"Germânio"
ARSENIC,"Arsênio"
SELENIUM,"Selênio"
BROMINE,"Bromo"
KRYPTON,"Criptônio"
RUBIDIUM,"Rubídio"
STRONTIUM,"Estrôncio"
YTTRIUM,"Ítrio"
ZIRCONIUM,"Zircônio"
NIOBIUM,"Nióbio"
MOLYBDENUM,"Molibdênio"
TECHNETIUM,"Tecnécio"
RUTHENIUM,"Rutênio"
RHODIUM,"Ródio"
PALLADIUM,"Paládio"
SILVER,"Prata"
CADMIUM,"Cádmio"
INDIUM,"Índio"
TIN,"Estanho"
ANTIMONY,"Antimônio"
TELLURIUM,"Telúrio"
IODINE,"Iodo"
XENON,"Xenônio"
CESIUM,"Césio"
BARIUM,"Bário"
LANTHANUM,"Lantânio"
CERIUM,"Cério"
PRASEODYMIUM,"Praseodímio"
NEODYMIUM,"Neodímio"
PROMETHIUM,"Promécio"
SAMARIUM,"Samário"
EUROPIUM,"Europio"
GADOLINIUM,"Gadolínio"
TERBIUM,"Térbio"
DYSPROSIUM,"Disprósio"
HOLMIUM,"Hólmio"
ERBIUM,"Erbium"
THULIUM,"Túlio"
YTTERBIUM,"Itérbio"
LUTETIUM,"Lutécio"
HAFNIUM,"Háfnio"
TANTALUM,"Tantálio"
TUNGSTEN,"Tungstênio"
RHENIUM,"Rênio"
OSMIUM,"Ósmio"
IRIDIUM,"Irídio"
PLATINUM,"Platina"
GOLD,"Ouro"
MERCURY,"Mercúrio"
THALLIUM,"Tálio"
LEAD,"Chumbo"
BISMUTH,"Bismuto"
POLONIUM,"Polônio"
ASTATINE,"Astato"
RADON,"Radônio"
FRANCIUM,"Frâncio"
RADIUM,"Rádio"
ACTINIUM,"Actínio"
THORIUM,"Tório"
PROTACTINIUM,"Protactínio"
URANIUM,"Urânio"
NEPTUNIUM,"Neptúnio"
PLUTONIUM,"Plutônio"
AMERICIUM,"Amerício"
CURIUM,"Cúrio"
BERKELIUM,"Berquélio"
CALIFORNIUM,"Califórnio"
EINSTEINIUM,"Einsteínio"
FERMIUM,"Férmio"
MENDELEVIUM,"Mendelévio"
NOBELIUM,"Nobélio"
LAWRENCIUM,"Laurêncio"
RUTHERFORDIUM,"Rutêrfordio"
DUBNIUM,"Dúbnio"
SEABORGIUM,"Seabórgio"
BOHRIUM,"Bóhrio"
HASSIUM,"Hássio"
MEITNERIUM,"Meitnério"
DARMSTADTIUM,"Darmstádtio"
ROENTGENIUM,"Roentgênio"
COPERNICIUM,"Copernício"
NIHONIUM,"Nihônio"
FLEROVIUM,"Fleróvio"
MOSCOVIUM,"Moscóvio"
LIVERMORIUM,"Livermório"
TENNESSINE,"Tennesso"
OGANESSON,"Oganessônio"
