keys,pt,en
ELEMENT_EFFECT,"Efeito do elemento","Element effect"
MOLECULE_EFFECT,"Efeito em molecula","Effect on molecule"
EFFECT_1_HYDROGEN,"Recupera saude do [b][color=#922222]Omega[/color][/b] se for usado em um acelerador.", "Recovers health from [b][color=#922222]Omega[/color][/b] if used on an accelerator."
EFFECT_HELIUM,"",""
EFFECT_2_LITHIUM,"Ative a autodestruição, causando [b]incêndio[/b] nos inimigos ao redor.[p][b]Incêndio[/b] reduz 1 neutron a cada turno por valor acumulado, destroi o elemento caso seus neutrons chegue a 0.[p]Esse efeito pode acumular até 8 vezes.","Activate self-destruction, causing [b]Burning[/b] to surrounding enemies.[p][b]Burning[/b] reduces 1 neutron each turn per stack, destroys the element if your neutrons reach 0.[p]This effect can stack up to 8 times."
EFFECT_BERYLLIUM,"",""
EFFECT_BORON,"",""
EFFECT_CARBON,"",""
EFFECT_NITROGEN,"",""
EFFECT_OXYGEN,"",""
EFFECT_FLUORINE,"",""
EFFECT_NEON,"",""
EFFECT_SODIUM,"",""
EFFECT_MAGNESIUM,"",""
EFFECT_ALUMINIUM,"",""
EFFECT_SILICON,"",""
EFFECT_PHOSPHORUS,"",""
EFFECT_SULFUR,"",""
EFFECT_CHLORINE,"",""
EFFECT_ARGON,"",""
EFFECT_POTASSIUM,"",""
EFFECT_CALCIUM,"",""
EFFECT_SCANDIUM,"",""
EFFECT_TITANIUM,"",""
EFFECT_VANADIUM,"",""
EFFECT_CHROMIUM,"",""
EFFECT_MANGANESE,"",""
EFFECT_IRON,"",""
EFFECT_COBALT,"",""
EFFECT_NICKEL,"",""
EFFECT_COPPER,"",""
EFFECT_ZINC,"",""
EFFECT_GALLIUM,"",""
EFFECT_GERMANIUM,"",""
EFFECT_ARSENIC,"",""
EFFECT_SELENIUM,"",""
EFFECT_BROMINE,"",""
EFFECT_KRYPTON,"",""
EFFECT_RUBIDIUM,"",""
EFFECT_STRONTIUM,"",""
EFFECT_YTTRIUM,"",""
EFFECT_ZIRCONIUM,"",""
EFFECT_NIOBIUM,"",""
EFFECT_MOLYBDENUM,"",""
EFFECT_TECHNETIUM,"",""
EFFECT_RUTHENIUM,"",""
EFFECT_RHODIUM,"",""
EFFECT_PALLADIUM,"",""
EFFECT_SILVER,"",""
EFFECT_CADMIUM,"",""
EFFECT_INDIUM,"",""
EFFECT_TIN,"",""
EFFECT_ANTIMONY,"",""
EFFECT_TELLURIUM,"",""
EFFECT_IODINE,"",""
EFFECT_XENON,"",""
EFFECT_CESIUM,"",""
EFFECT_BARIUM,"",""
EFFECT_LANTHANUM,"",""
EFFECT_CERIUM,"",""
EFFECT_PRASEODYMIUM,"",""
EFFECT_NEODYMIUM,"",""
EFFECT_PROMETHIUM,"",""
EFFECT_SAMARIUM,"",""
EFFECT_EUROPIUM,"",""
EFFECT_GADOLINIUM,"",""
EFFECT_TERBIUM,"",""
EFFECT_DYSPROSIUM,"",""
EFFECT_HOLMIUM,"",""
EFFECT_ERBIUM,"",""
EFFECT_THULIUM,"",""
EFFECT_YTTERBIUM,"",""
EFFECT_LUTETIUM,"",""
EFFECT_HAFNIUM,"",""
EFFECT_TANTALUM,"",""
EFFECT_TUNGSTEN,"",""
EFFECT_RHENIUM,"",""
EFFECT_OSMIUM,"",""
EFFECT_IRIDIUM,"",""
EFFECT_PLATINUM,"",""
EFFECT_GOLD,"",""
EFFECT_MERCURY,"",""
EFFECT_THALLIUM,"",""
EFFECT_LEAD,"",""
EFFECT_BISMUTH,"",""
EFFECT_POLONIUM,"",""
EFFECT_ASTATINE,"",""
EFFECT_RADON,"",""
EFFECT_FRANCIUM,"",""
EFFECT_RADIUM,"",""
EFFECT_ACTINIUM,"",""
EFFECT_THORIUM,"",""
EFFECT_PROTACTINIUM,"",""
EFFECT_URANIUM,"",""
EFFECT_NEPTUNIUM,"",""
EFFECT_PLUTONIUM,"",""
EFFECT_AMERICIUM,"",""
EFFECT_CURIUM,"",""
EFFECT_BERKELIUM,"",""
EFFECT_CALIFORNIUM,"",""
EFFECT_EINSTEINIUM,"",""
EFFECT_FERMIUM,"",""
EFFECT_MENDELEVIUM,"",""
EFFECT_NOBELIUM,"",""
EFFECT_LAWRENCIUM,"",""
EFFECT_RUTHERFORDIUM,"",""
EFFECT_DUBNIUM,"",""
EFFECT_SEABORGIUM,"",""
EFFECT_BOHRIUM,"",""
EFFECT_HASSIUM,"",""
EFFECT_MEITNERIUM,"",""
EFFECT_DARMSTADTIUM,"",""
EFFECT_ROENTGENIUM,"",""
EFFECT_COPERNICIUM,"",""
EFFECT_NIHONIUM,"",""
EFFECT_FLEROVIUM,"",""
EFFECT_MOSCOVIUM,"",""
EFFECT_LIVERMORIUM,"",""
EFFECT_TENNESSINE,"",""
EFFECT_OGANESSON,"",""
