keys,pt,en
ALKALINE, "Alcalino", "Alkaline"
ALKALINE_EARTH, "Alcalino Terroso", "Alkaline Earth"
LANTANIDIUM, "Lantanidum", "Lanthanide"
ACTINIDIUM, "Actinidum", "Actinide"
TRANSITION, "Transição", "Transition"
OTHERS, "Outros", "Others"
SEMIMETAL, "Semimetal", "Semimetal"
METALLOID, "Metalóide", "Metalloid"
HALOGEN, "Halogênio", "Halogen"
NOBLE, "Gás Nobre", "Noble Gas"
UNKNOWN, "Desconhecido", "Unknown"
VALENTIA, "Valencia: ", "Valency: "
ISOTOPO,"Isótopo: ","Isotope:"
HYDROGEN,"Hidrogênio","Hydrogen"
HELIUM,"Hélio","Helium"
LITHIUM,"Lítio","Lithium"
BERYLLIUM,"Berílio","Beryllium"
BORON,"Boro","Boron"
CARBON,"Carbono","Carbon"
NITROGEN,"Nitrogênio","Nitrogen"
OXYGEN,"Oxigênio","Oxygen"
FLUORINE,"Flúor","Fluorine"
NEON,"Neônio","Neon"
SODIUM,"Sódio","Sodium"
MAGNESIUM,"Magnésio","Magnesium"
ALUMINIUM,"Alumínio","Aluminum"
SILICON,"Silício","Silicon"
PHOSPHORUS,"Fósforo","Phosphorus"
SULFUR,"Enxofre","Sulfur"
CHLORINE,"Cloro","Chlorine"
ARGON,"Argônio","Argon"
POTASSIUM,"Potássio","Potassium"
CALCIUM,"Cálcio","Calcium"
SCANDIUM,"Escândio","Scandium"
TITANIUM,"Titânio","Titanium"
VANADIUM,"Vanádio","Vanadium"
CHROMIUM,"Crômio","Chromium"
MANGANESE,"Manganês","Manganese"
IRON,"Ferro","Iron"
COBALT,"Cobalto","Cobalt"
NICKEL,"Níquel","Nickel"
COPPER,"Cobre","Copper"
ZINC,"Zinco","Zinc"
GALLIUM,"Gálio","Gallium"
GERMANIUM,"Germânio","Germanium"
ARSENIC,"Arsênio","Arsenic"
SELENIUM,"Selênio","Selenium"
BROMINE,"Bromo","Bromine"
KRYPTON,"Criptônio","Krypton"
RUBIDIUM,"Rubídio","Rubidium"
STRONTIUM,"Estrôncio","Strontium"
YTTRIUM,"Ítrio","Yttrium"
ZIRCONIUM,"Zircônio","Zirconium"
NIOBIUM,"Nióbio","Niobium"
MOLYBDENUM,"Molibdênio","Molybdenum"
TECHNETIUM,"Tecnécio","Technetium"
RUTHENIUM,"Rutênio","Ruthenium"
RHODIUM,"Ródio","Rhodium"
PALLADIUM,"Paládio","Palladium"
SILVER,"Prata","Silver"
CADMIUM,"Cádmio","Cadmium"
INDIUM,"Índio","Indium"
TIN,"Estanho","Tin"
ANTIMONY,"Antimônio","Antimony"
TELLURIUM,"Telúrio","Tellurium"
IODINE,"Iodo","Iodine"
XENON,"Xenônio","Xenon"
CESIUM,"Césio","Cesium"
BARIUM,"Bário","Barium"
LANTHANUM,"Lantânio","Lanthanum"
CERIUM,"Cério","Cerium"
PRASEODYMIUM,"Praseodímio","Praseodymium"
NEODYMIUM,"Neodímio","Neodymium"
PROMETHIUM,"Promécio","Promethium"
SAMARIUM,"Samário","Samarium"
EUROPIUM,"Europio","Europium"
GADOLINIUM,"Gadolínio","Gadolinium"
TERBIUM,"Térbio","Terbium"
DYSPROSIUM,"Disprósio","Dysprosium"
HOLMIUM,"Hólmio","Holmium"
ERBIUM,"Erbium","Erbium"
THULIUM,"Túlio","Thulium"
YTTERBIUM,"Itérbio","Ytterbium"
LUTETIUM,"Lutécio","Lutetium"
HAFNIUM,"Háfnio","Hafnium"
TANTALUM,"Tantálio","Tantalum"
TUNGSTEN,"Tungstênio","Tungsten"
RHENIUM,"Rênio","Rhenium"
OSMIUM,"Ósmio","Osmium"
IRIDIUM,"Irídio","Iridium"
PLATINUM,"Platina","Platinum"
GOLD,"Ouro","Gold"
MERCURY,"Mercúrio","Mercury"
THALLIUM,"Tálio","Thallium"
LEAD,"Chumbo","Lead"
BISMUTH,"Bismuto","Bismuth"
POLONIUM,"Polônio","Polonium"
ASTATINE,"Astato","Astatine"
RADON,"Radônio","Radon"
FRANCIUM,"Frâncio","Francium"
RADIUM,"Rádio","Radium"
ACTINIUM,"Actínio","Actinium"
THORIUM,"Tório","Thorium"
PROTACTINIUM,"Protactínio","Protactinium"
URANIUM,"Urânio","Uranium"
NEPTUNIUM,"Neptúnio","Neptunium"
PLUTONIUM,"Plutônio","Plutonium"
AMERICIUM,"Amerício","Americium"
CURIUM,"Cúrio","Curium"
BERKELIUM,"Berquélio","Berkelium"
CALIFORNIUM,"Califórnio","Californium"
EINSTEINIUM,"Einsteínio","Einsteinium"
FERMIUM,"Férmio","Fermium"
MENDELEVIUM,"Mendelévio","Mendelevium"
NOBELIUM,"Nobélio","Nobelium"
LAWRENCIUM,"Laurêncio","Lawrencium"
RUTHERFORDIUM,"Rutêrfordio","Rutherfordium"
DUBNIUM,"Dúbnio","Dubnium"
SEABORGIUM,"Seabórgio","Seaborgium"
BOHRIUM,"Bóhrio","Bohrium"
HASSIUM,"Hássio","Hassium"
MEITNERIUM,"Meitnério","Meitnerium"
DARMSTADTIUM,"Darmstádtio","Darmstadtium"
ROENTGENIUM,"Roentgênio","Roentgenium"
COPERNICIUM,"Copernício","Copernicium"
NIHONIUM,"Nihônio","Nihonium"
FLEROVIUM,"Fleróvio","Flerovium"
MOSCOVIUM,"Moscóvio","Moscovium"
LIVERMORIUM,"Livermório","Livermorium"
TENNESSINE,"Tennesso","Tennessine"
OGANESSON,"Oganessônio","Oganesson"
