keys,pt,en
CAMPAIGN,"Campanha","Campaign"
QUICK_GAME,"Jogo rapido","Quick game"
GALERY,"Galeria Fussion","Fussion Galery"
CONFIG,"Configurações","Settings"
QUIT,"Sair do jogo","Quit game"
RETURN,"Voltar","Return"
RESTART,"Reiniciar","Restart"
MAIN,"Menu principal","Main menu"
NEXT,"Proxima fase","Next phase"
START,"Começar","Start"
DUEL,"Duelo contra:","Duel against:"
LIFE_A,"Vida:","Life:"
LIFE_B,":Vida",":Life"
NEXT_TURN,"PULAR TURNO","NEXT TURN"
ENERGY,"Energia:","Energy:"
PRE_INIT,"INICIANDO","INIT"
INIT_STORVE,"FASE DOS REATORES","REACTOR PHASE"
YOU_TURN,"Seu turno: ","Your turn: "
OPP_TURN,"Turno do oponente: ","Opponent's turn: "
END,"FASE FINAL","FINAL PHASE"
WIN,"Vitória","Victory"
LOSE,"Derrota","Defeat"
CHALLENGER,"Desafiador: ","Challenger: "
PHASE,"Fase: ","Phase: "
NORMAL,"Soldado","Soldier"
MINIBOSS_A,"[color=#ffeedd]Sargento[/color]","[color=#ffffdd]Sergeant[/color]"
MINIBOSS_B,"[color=#ffddaa]Capitão[/color]","Captain"
MINIBOSS_C,"[color=#ffbb88]General[/color]","General"
BOSS,"[color=#ff4444]Chefe[/color]","Boss"
WIDGETS,"Apetrechos:","Widgets:"
DROPS,"Recompensas:","Rewards:"
DIPONIBLE_WIDGETS,"Apetrechos disponiveis","Available widgets"
DECK_DRAG_INFO,"Você pode clicar e arrastar apetrechos disponiveis para o Deck abaixo.","You can click and drag available widgets to the Deck below"
DIFICULT,"Dificuldade","Difficulty"
OPPONENT,"Oponente","Opponent"
