keys,pt,en
EFFECT_HYDROGEN,"Recupera saude do [b][color=#922222]Omega[/color][/b] se for usado em um acelerador.", "Recovers health from [b][color=#922222]Omega[/color][/b] if used on an accelerator."
EFFECT_HELIUM,"",""
EFFECT_LITHIUM,"",""
EFFECT_BERYLLIUM,"",""
EFFECT_BORON,"",""
EFFECT_CARBON,"",""
EFFECT_NITROGEN,"",""
EFFECT_OXYGEN,"",""
EFFECT_FLUORINE,"",""
EFFECT_NEON,"",""
EFFECT_SODIUM,"",""
EFFECT_MAGNESIUM,"",""
EFFECT_ALUMINIUM,"",""
EFFECT_SILICON,"",""
EFFECT_PHOSPHORUS,"",""
EFFECT_SULFUR,"",""
EFFECT_CHLORINE,"",""
EFFECT_ARGON,"",""
EFFECT_POTASSIUM,"",""
EFFECT_CALCIUM,"",""
EFFECT_SCANDIUM,"",""
EFFECT_TITANIUM,"",""
EFFECT_VANADIUM,"",""
EFFECT_CHROMIUM,"",""
EFFECT_MANGANESE,"",""
EFFECT_IRON,"",""
EFFECT_COBALT,"",""
EFFECT_NICKEL,"",""
EFFECT_COPPER,"",""
EFFECT_ZINC,"",""
EFFECT_GALLIUM,"",""
EFFECT_GERMANIUM,"",""
EFFECT_ARSENIC,"",""
EFFECT_SELENIUM,"",""
EFFECT_BROMINE,"",""
EFFECT_KRYPTON,"",""
EFFECT_RUBIDIUM,"",""
EFFECT_STRONTIUM,"",""
EFFECT_YTTRIUM,"",""
EFFECT_ZIRCONIUM,"",""
EFFECT_NIOBIUM,"",""
EFFECT_MOLYBDENUM,"",""
EFFECT_TECHNETIUM,"",""
EFFECT_RUTHENIUM,"",""
EFFECT_RHODIUM,"",""
EFFECT_PALLADIUM,"",""
EFFECT_SILVER,"",""
EFFECT_CADMIUM,"",""
EFFECT_INDIUM,"",""
EFFECT_TIN,"",""
EFFECT_ANTIMONY,"",""
EFFECT_TELLURIUM,"",""
EFFECT_IODINE,"",""
EFFECT_XENON,"",""
EFFECT_CESIUM,"",""
EFFECT_BARIUM,"",""
EFFECT_LANTHANUM,"",""
EFFECT_CERIUM,"",""
EFFECT_PRASEODYMIUM,"",""
EFFECT_NEODYMIUM,"",""
EFFECT_PROMETHIUM,"",""
EFFECT_SAMARIUM,"",""
EFFECT_EUROPIUM,"",""
EFFECT_GADOLINIUM,"",""
EFFECT_TERBIUM,"",""
EFFECT_DYSPROSIUM,"",""
EFFECT_HOLMIUM,"",""
EFFECT_ERBIUM,"",""
EFFECT_THULIUM,"",""
EFFECT_YTTERBIUM,"",""
EFFECT_LUTETIUM,"",""
EFFECT_HAFNIUM,"",""
EFFECT_TANTALUM,"",""
EFFECT_TUNGSTEN,"",""
EFFECT_RHENIUM,"",""
EFFECT_OSMIUM,"",""
EFFECT_IRIDIUM,"",""
